City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Severo-Kurilsk,RU,50.6789,156.125,43.54,75,98,10.71,overcast clouds
277,Half Moon Bay,US,37.4636,-122.4286,69.82,80,100,17.27,overcast clouds
278,Huarmey,PE,-10.0681,-78.1522,60.93,85,13,7.54,few clouds
279,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.02,64,40,0.0,scattered clouds
280,Esso,RU,55.9333,158.7,26.42,84,31,2.28,scattered clouds
281,Ibra,OM,22.6906,58.5334,76.8,29,0,2.95,clear sky
282,Flin Flon,CA,54.7682,-101.865,48.67,62,40,11.5,scattered clouds
283,Young,UY,-32.6833,-57.6333,60.93,97,100,5.91,light rain
284,Enshi,CN,30.3,109.4833,64.51,58,66,2.46,broken clouds
285,Kaitangata,NZ,-46.2817,169.8464,53.91,44,87,12.48,overcast clouds
286,Kulhudhuffushi,MV,6.6221,73.07,81.07,80,86,14.7,overcast clouds
287,Los Amates,GT,15.2667,-89.1,73.44,99,100,1.61,heavy intensity rain
288,General Roca,AR,-39.0333,-67.5833,64.62,43,100,25.52,overcast clouds
289,Aklavik,CA,68.2191,-135.0107,17.85,98,100,1.83,overcast clouds
290,El Campo,US,29.1966,-96.2697,68.29,67,0,4.61,clear sky
291,Fairbanks,US,64.8378,-147.7164,37.6,89,100,5.75,overcast clouds
292,Te Anau,NZ,-45.4167,167.7167,53.33,44,33,3.2,scattered clouds
293,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,9.22,clear sky
294,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.6,93,0,2.3,clear sky
295,Santa Rosa,PH,14.3122,121.1114,89.1,71,100,4.38,overcast clouds
296,Bairiki,KI,1.3292,172.9752,86.0,66,20,8.05,few clouds
297,Jawhar,SO,2.7809,45.5005,73.35,90,35,6.35,scattered clouds
298,Sawakin,SD,19.1059,37.3321,81.07,71,0,0.34,clear sky
299,Sembe,CG,1.6481,14.5806,67.62,100,98,2.19,overcast clouds
300,Mezen,RU,65.8522,44.24,30.79,82,69,9.37,broken clouds
301,Muzhi,RU,65.3667,64.6667,28.45,90,57,7.18,broken clouds
302,Cravo Norte,CO,6.3017,-70.2041,77.32,84,97,3.76,overcast clouds
303,Shitanjing,CN,39.2342,106.3439,53.01,27,0,11.45,clear sky
304,Port Hawkesbury,CA,45.6169,-61.3485,51.58,85,0,9.22,clear sky
305,Safranbolu,TR,41.2508,32.6942,41.2,91,29,2.21,scattered clouds
306,Zhigalovo,RU,54.8097,105.1578,35.8,63,30,2.66,scattered clouds
307,Lasa,IT,46.6166,10.7002,56.28,92,100,4.05,overcast clouds
308,Siedlce,PL,52.1677,22.2901,36.57,86,5,7.7,clear sky
309,Puerto Escondido,MX,15.85,-97.0667,79.63,65,100,3.44,overcast clouds
310,Shache,CN,38.4167,77.2406,56.95,20,40,4.85,scattered clouds
311,Suntar,RU,62.1444,117.6319,29.16,85,95,8.16,overcast clouds
312,Buraydah,SA,26.326,43.975,63.05,17,0,7.52,clear sky
313,Khandyga,RU,62.6667,135.6,16.18,85,100,2.01,overcast clouds
314,Tarut,SA,26.5733,50.0369,77.2,65,0,9.04,clear sky
315,Alexandria,EG,31.2156,29.9553,63.14,68,0,3.24,clear sky
316,Wamba,NG,8.9333,8.6,71.02,69,94,2.21,overcast clouds
317,Fort Nelson,CA,58.8053,-122.7002,49.59,34,75,8.05,broken clouds
318,Burnie,AU,-41.0667,145.9167,58.95,96,100,13.13,overcast clouds
319,Port Hardy,CA,50.6996,-127.4199,50.18,81,75,4.61,broken clouds
320,San-Pedro,CI,4.7485,-6.6363,73.99,94,47,4.32,scattered clouds
321,Muros,ES,42.7762,-9.0603,60.84,84,56,22.26,broken clouds
322,Kavaratti,IN,10.5669,72.642,80.64,78,100,5.23,overcast clouds
323,Nizhniy Kuranakh,RU,58.8353,125.4869,29.93,93,100,8.52,light snow
324,Talnakh,RU,69.4865,88.3972,34.21,97,100,16.28,light snow
325,Hithadhoo,MV,-0.6,73.0833,81.86,75,100,10.94,overcast clouds
326,Manjo,CM,4.8428,9.8217,68.88,99,100,1.12,moderate rain
327,El Tigre,VE,8.8875,-64.2454,77.81,74,86,8.59,overcast clouds
328,Pahrump,US,36.2083,-115.9839,74.25,21,0,3.36,clear sky
329,Kidal,ML,18.4411,1.4078,76.32,20,8,12.86,clear sky
330,Balestrand,NO,61.2076,6.5334,35.83,69,99,5.26,overcast clouds
331,Kruisfontein,ZA,-34.0033,24.7314,55.06,87,94,3.51,overcast clouds
332,Turukhansk,RU,65.8167,87.9833,34.39,98,100,15.9,light snow
333,Miraflores,MX,19.2167,-98.8083,64.02,89,100,1.3,light rain
334,Haverfordwest,GB,51.8017,-4.9691,59.58,92,98,3.0,overcast clouds
335,Cherskiy,RU,68.75,161.3,12.27,93,72,6.31,broken clouds
336,Bedesa,ET,8.9,40.7833,58.57,85,20,2.55,few clouds
337,Port Moresby,PG,-9.4431,147.1797,90.82,62,40,11.5,haze
338,College,US,64.8569,-147.8028,37.58,88,75,5.75,broken clouds
339,Salinas,US,36.6777,-121.6555,67.01,78,75,9.22,mist
340,Araouane,ML,18.9048,-3.5265,84.36,18,98,3.18,overcast clouds
341,Missoula,US,47.0166,-113.8009,46.56,79,55,5.84,light rain
342,Rio Muerto,MX,27.4167,-110.2333,82.92,54,0,6.76,clear sky
343,Talaya,RU,61.3833,152.75,7.09,84,100,2.57,overcast clouds
344,Vigrestad,NO,58.5667,5.7,50.95,71,100,25.59,light rain
345,Kilosa,TZ,-6.8333,36.9833,64.22,88,90,2.46,overcast clouds
346,Madang,PG,-5.2246,145.7966,86.05,62,100,6.87,overcast clouds
347,Sokur,RU,55.2093,83.319,34.16,89,32,7.45,scattered clouds
